title,year,letterboxd_rating,letterboxd_url,slug,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,underperformance_category,key_insights,genre_pattern,marketing_assessment
The Long Walk,,4.0,https://letterboxd.com/film/the-long-walk/,the-long-walk,0,0,6.9,"Drama, Horror, Mystery",Mattie Do,"Yannawoutthi Chanthalungsy, Vilouna Phetmany, Por Silatsa",An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,5 wins & 4 nominations total,116 min,Laos,Lao,True,0.0,0.0,,-2.9000000000000004,Limited Release,"The Long Walk captivates with its haunting blend of supernatural folklore and intimate human grief, offering a culturally rich narrative that transcends conventional genre boundaries. Its meditative pacing and profound emotional depth resonate deeply with critics and niche audiences, though its slow-burn approach and specific cultural context limited mainstream appeal. This poetic exploration of memory and loss stands as a testament to cinema's power to evoke deep reflection, even without commercial success.",Prestige Picture,"The primary marketing challenge is overcoming limited international appeal due to the absence of recognizable actors and the Lao language, which restricts broader audience reach and complicates distribution outside niche markets."
Weapons,,4.0,https://letterboxd.com/film/weapons/,weapons,119404498,0,7.8,"Horror, Mystery",Zach Cregger,"Julia Garner, Josh Brolin, Alden Ehrenreich","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",1 nomination total,128 min,United States,English,False,119.4,0.0,,-3.8,N/A - Performed Well,Successful box office performance,,
The Naked Gun,,4.0,https://letterboxd.com/film/the-naked-gun/,the-naked-gun,48738452,0,7.0,"Action, Comedy, Crime",Akiva Schaffer,"Liam Neeson, Pamela Anderson, Paul Walter Hauser",Only one man has the particular set of skills - to lead Police Squad and save the world.,N/A,85 min,"United States, Canada",English,True,48.74,0.0,,-3.0,Poor Marketing,"Despite its modest box office, *The Naked Gun* is a masterclass in absurdist satire and deadpan humor, elevating slapstick to an art form with Leslie Nielsen's iconic performance. Its legacy endures through its influence on parody films and its cult status, celebrated for relentless wit and perfectly timed gags that have since become benchmarks in comedy.",Mainstream Friendly,"The primary marketing challenge is overcoming the miscasting of Liam Neeson in a slapstick comedy role, which may confuse audiences expecting his typical serious, action-oriented performances and dilute the film's comedic appeal."
The Thursday Murder Club,,4.0,https://letterboxd.com/film/the-thursday-murder-club/,the-thursday-murder-club,0,0,6.9,"Comedy, Crime, Mystery",Chris Columbus,"Helen Mirren, Pierce Brosnan, Ben Kingsley","Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hands.",1 win total,118 min,United States,English,True,0.0,0.0,,-2.9000000000000004,Limited Release,"Despite its commercial obscurity, *The Thursday Murder Club* captivates with its witty, character-driven narrative that subverts the typical crime genre by centering on sharp, endearing retirees. Its charm lies in blending humor with genuine mystery, offering a refreshing take that resonates deeply with niche audiences who appreciate clever storytelling over spectacle.",Arthouse Favorite,"Balancing appeal between older demographics drawn to its veteran cast and younger audiences unfamiliar with the source material, while ensuring the film's cozy mystery tone isn't perceived as overly niche or dated."
Good Will Hunting,,4.0,https://letterboxd.com/film/good-will-hunting/,good-will-hunting,138433435,0,8.3,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,126 min,United States,English,False,138.43,0.0,,-4.300000000000001,N/A - Performed Well,Successful box office performance,,
Dead Poets Society,,4.0,https://letterboxd.com/film/dead-poets-society/,dead-poets-society,95860116,0,8.1,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Won 1 Oscar. 20 wins & 19 nominations total,128 min,United States,"English, Latin, French",False,95.86,0.0,,-4.1,N/A - Performed Well,Successful box office performance,,
Honey Don't!,,4.0,https://letterboxd.com/film/honey-dont!/,honey-dont!,5810510,0,5.3,"Comedy, Crime, Mystery",Ethan Coen,"Margaret Qualley, Aubrey Plaza, Chris Evans","A dark comedy about small-town private investigator Honey O'Donahue, who delves into a series of strange deaths tied to a mysterious church.",N/A,89 min,"United Kingdom, United States",English,True,5.81,0.0,,-1.2999999999999998,Niche Appeal,"Honey Don't! thrives on its sharp, offbeat humor and clever subversion of crime tropes, creating a uniquely witty and atmospheric experience. Its cult appeal stems from standout performances and a darkly comedic tone that resonates deeply with niche audiences, despite broader commercial indifference.",Mainstream Friendly,"Balancing the appeal of its well-known cast (Evans, Plaza, Qualley) with a potentially niche or unclear genre, making it challenging to effectively target and attract a broad audience."
Thunderbolts*,,4.0,https://letterboxd.com/film/thunderbolts*/,thunderbolts*,190274328,0,7.2,"Action, Adventure, Crime",Jake Schreier,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus","After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.",2 wins & 13 nominations total,127 min,"United States, Australia, Canada","English, Russian, Italian",False,190.27,0.0,,-3.2,N/A - Performed Well,Successful box office performance,,
The Conjuring,,4.0,https://letterboxd.com/film/the-conjuring/,the-conjuring,137446368,0,7.5,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,15 wins & 22 nominations total,112 min,United States,"English, Latin",False,137.45,0.0,,-3.5,N/A - Performed Well,Successful box office performance,,
Materialists,,4.0,https://letterboxd.com/film/materialists/,materialists,36503614,0,6.4,"Comedy, Romance",Celine Song,"Dakota Johnson, Chris Evans, Pedro Pascal",An ambitious young New York City matchmaker finds herself torn between the perfect match and her imperfect ex.,6 nominations total,116 min,"United States, Finland",English,True,36.5,0.0,,-2.4000000000000004,Niche Appeal,"Materialists excels in its sharp, witty dialogue and nuanced character development, offering a refreshingly cynical yet heartfelt take on modern romance that resonates deeply with critics. Its commercial underperformance likely stems from its intellectual, dialogue-driven approach, which appeals more to niche audiences than mainstream viewers seeking broader comedy. The film's layered performances and sophisticated storytelling cement its status as a cult favorite for those who appreciate smart, character-centric narratives.",Mainstream Friendly,The primary marketing challenge is overcoming the film's ambiguous positioning—neither a clear indie nor a mainstream rom-com—which may confuse audiences despite its notable cast.
