title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label,underperformance_category,key_insights,genre_pattern,marketing_assessment
Andrei Rublev,1966,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,andrei-rublev,https://letterboxd.com/film/andrei-rublev/,124189,0,8.0,"Biography, Drama, History",Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",4 wins & 1 nomination total,189 min,Soviet Union,"Russian, Italian, Tatar",True,0.12,0.0,,-3.7,1960,1960s,Niche Appeal,"Andrei Tarkovsky's *Andrei Rublev* is a profound meditation on art, faith, and human suffering, celebrated for its poetic cinematography and philosophical depth. Its commercial obscurity stems from its challenging, slow-paced narrative and historical context, yet it remains a monumental work in world cinema for its spiritual resonance and visual mastery.",Prestige Picture,"The primary marketing challenge is its lengthy, slow-paced narrative in a foreign language, which limits broad appeal and requires targeting a niche audience of art-house and cinephile viewers."
Apocalypse Now,1979,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,apocalypse-now,https://letterboxd.com/film/apocalypse-now/,96074376,0,8.4,"Drama, Mystery, War",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Won 2 Oscars. 21 wins & 33 nominations total,147 min,United States,"English, French, Vietnamese",False,96.07,0.0,,-4.1,1970,1970s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Dark Knight,2008,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-dark-knight,https://letterboxd.com/film/the-dark-knight/,534987076,0,9.1,"Action, Crime, Drama",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Won 2 Oscars. 163 wins & 165 nominations total,152 min,"United States, United Kingdom","English, Mandarin",False,534.99,0.0,,-4.8,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
Neon Genesis Evangelion: The End of Evangelion,1997,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,neon-genesis-evangelion-the-end-of-evangelion,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,1302300,0,8.1,"Animation, Action, Drama","Hideaki Anno, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Yûko Miyamura",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,2 wins total,87 min,Japan,Japanese,True,1.3,0.0,,-3.8,1990,1990s,Niche Appeal,"Its profound, avant-garde exploration of psychological trauma and existential despair broke new ground in animation, challenging audiences with its complex themes and abstract visuals. Despite its commercial underperformance, it became a cult masterpiece, deeply influencing both anime and broader film discourse with its bold, uncompromising narrative closure.",Prestige Picture,"The primary marketing challenge is overcoming the language and cultural barriers for international audiences, compounded by the film's dense, abstract narrative that requires prior knowledge of the series."
GoodFellas,1990,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,goodfellas,https://letterboxd.com/film/goodfellas/,46909721,0,8.7,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Won 1 Oscar. 44 wins & 38 nominations total,145 min,United States,"English, Italian, Hebrew, Yiddish",True,46.91,0.0,,-4.4,1990,1990s,Niche Appeal,"Despite its initial box office underperformance, ""GoodFellas"" is revered for its masterful direction, dynamic editing, and authentic portrayal of mob life, which have cemented its status as a cinematic benchmark. Its raw energy, sharp dialogue, and immersive storytelling have profoundly influenced both filmmakers and popular culture, elevating it far beyond its commercial reception.",Prestige Picture,"Balancing the film's graphic violence and morally complex narrative with mainstream appeal, given its lengthy runtime and intense subject matter, could alienate casual viewers despite its strong cast."
Spirited Away,2001,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,spirited-away,https://letterboxd.com/film/spirited-away/,15205725,0,8.6,"Animation, Adventure, Family",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Won 1 Oscar. 58 wins & 31 nominations total,124 min,"Japan, United States","Japanese, English",True,15.21,0.0,,-4.3,2000,2000s,Niche Appeal,"Despite its initial modest box office, *Spirited Away* is celebrated for its breathtaking artistry and profound storytelling, blending Japanese folklore with universal themes of identity and resilience. Its Oscar win and enduring acclaim highlight its cultural resonance, transcending commercial metrics to become a timeless masterpiece in global animation.",Mainstream Friendly,"The primary marketing challenge is overcoming the language and cultural barrier for Western audiences, compounded by the lack of recognizable star power in the English-speaking market."
There Will Be Blood,2007,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,there-will-be-blood,https://letterboxd.com/film/there-will-be-blood/,40222514,0,8.2,Drama,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Won 2 Oscars. 114 wins & 138 nominations total,158 min,United States,"English, American Sign ",True,40.22,0.0,,-3.9,2000,2000s,Niche Appeal,"""There Will Be Blood"" is a masterclass in cinematic artistry, driven by Paul Thomas Anderson's meticulous direction and Daniel Day-Lewis's monumental performance, which together craft a profound critique of greed and ambition. Its commercial underperformance contrasts with its lasting cultural impact, as it redefined the epic drama with its intense character study and haunting score. The film’s uncompromising vision and layered narrative continue to resonate, cementing its status as a modern classic.",Prestige Picture,"The primary marketing challenge is the film's lengthy runtime and slow-burn, character-driven narrative, which may deter mainstream audiences despite Daniel Day-Lewis's star power."
The Cranes Are Flying,1957,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-cranes-are-flying,https://letterboxd.com/film/the-cranes-are-flying/,17923,0,8.3,"Drama, Romance, War",Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev","Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.",Nominated for 2 BAFTA 4 wins & 3 nominations total,95 min,Soviet Union,Russian,True,0.02,0.0,,-4.0,1950,1950s,Limited Release,"Despite its commercial obscurity, *The Cranes Are Flying* is celebrated for its groundbreaking cinematography and profound emotional depth, capturing the personal toll of war through a uniquely Soviet lens. Its innovative handheld camera work and intimate portrayal of love and loss earned it the Palme d'Or, cementing its legacy as a masterpiece of poetic realism. The film’s critical acclaim highlights how artistic innovation often transcends box office success, resonating deeply with those who discover it.",Prestige Picture,"The primary marketing challenge is overcoming the language and cultural barrier for international audiences, as a Soviet-era Russian-language film lacks globally recognized stars and deals with themes specific to its historical context."
The Apartment,1960,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-apartment,https://letterboxd.com/film/the-apartment/,18600000,0,8.3,"Comedy, Drama, Romance",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Won 5 Oscars. 25 wins & 8 nominations total,125 min,United States,English,True,18.6,0.0,,-4.0,1960,1960s,Niche Appeal,"Despite its modest box office, *The Apartment* masterfully blends sharp social satire with heartfelt romance, showcasing Wilder's deft direction and Lemmon's nuanced performance. Its enduring acclaim stems from its witty critique of corporate ethics and personal compromise, which resonates across generations. The film’s artistic integrity and Oscar-winning craftsmanship have solidified its status as a timeless classic, far outweighing its initial commercial reception.",Prestige Picture,"The primary marketing challenge is balancing the film's sophisticated, mature themes and nuanced tone to appeal to both adult drama audiences and broader comedy fans without misrepresenting its substance."
Incendies,2010,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,incendies,https://letterboxd.com/film/incendies/,2071334,0,8.3,"Drama, Mystery, War",Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Nominated for 1 Oscar. 41 wins & 20 nominations total,131 min,"Canada, France","French, Arabic, English",True,2.07,0.0,,-4.0,2010,2010s,Niche Appeal,"Incendies is a profound exploration of generational trauma and identity, masterfully weaving a nonlinear narrative that reveals devastating truths with poetic precision. Its raw emotional power and Denis Villeneuve's uncompromising direction create an unforgettable cinematic experience, yet its heavy themes and subtitled format limited mainstream appeal. The film remains a testament to how art can confront painful histories with grace, resonating deeply with critics and cinephiles while challenging commercial conventions.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and subtitled format for mainstream audiences, compounded by the lack of recognizable star power to attract wider viewership."
